Time (s)	T ext	RH ext	T	RH1	Mass (g)
0.00	291.52	0.4000	296.62	0.0917	134.83
3600.00	291.64	0.4123	294.11	0.0723	135.02
7200.00	292.15	0.4053	294.11	0.0669	135.17
10800.00	292.65	0.4167	294.61	0.0624	135.29
14400.00	293.15	0.4133	295.11	0.0678	135.39
18000.00	293.65	0.4177	295.61	0.0687	135.49
21600.00	294.15	0.4125	295.61	0.0741	135.58
25200.00	294.53	0.4168	296.12	0.0741	135.68
28800.00	294.66	0.4153	296.12	0.0687	135.78
32400.00	294.66	0.4170	296.12	0.0741	135.88
36000.00	295.04	0.4170	295.61	0.0741	135.97
39600.00	294.66	0.4100	295.61	0.0796	136.06
43200.00	294.66	0.4153	295.11	0.0787	136.14
46800.00	294.66	0.4100	295.11	0.0787	136.23
50400.00	294.15	0.4160	295.11	0.0842	136.31
54000.00	294.15	0.4073	294.61	0.0954	136.38
57600.00	294.15	0.4038	294.61	0.0954	136.45
61200.00	294.15	0.4090	294.61	0.0954	136.52
64800.00	294.15	0.4055	294.61	0.1001	136.58
68400.00	293.65	0.4090	294.61	0.1115	136.64
72000.00	293.65	0.4142	294.61	0.1172	136.70
75600.00	293.65	0.4038	294.61	0.1172	136.76
79200.00	293.65	0.4038	294.61	0.1172	136.82
82800.00	293.65	0.4142	294.61	0.1347	136.89
86400.00	293.65	0.4073	294.61	0.1347	136.94
90000.00	293.65	0.4108	295.11	0.1347	136.99
93600.00	294.15	0.4090	295.11	0.1406	137.04
97200.00	294.15	0.4090	295.11	0.1465	137.09
100800.00	294.15	0.4073	295.61	0.1524	137.13
104400.00	294.53	0.4168	295.61	0.1524	137.18
108000.00	294.66	0.4100	295.61	0.1704	137.22
111600.00	294.66	0.4047	295.61	0.1704	137.27
115200.00	294.66	0.4065	295.11	0.1694	137.32
118800.00	294.66	0.4100	294.61	0.1806	137.37
122400.00	294.15	0.4160	294.11	0.1745	137.42
126000.00	293.65	0.4073	294.11	0.1806	137.47
129600.00	293.28	0.4030	293.61	0.1796	137.51
133200.00	293.15	0.4047	293.61	0.1918	137.56
136800.00	292.78	0.4027	293.11	0.1908	137.60
140400.00	292.65	0.4080	293.11	0.1908	137.64
144000.00	292.65	0.4063	293.11	0.1969	137.68
147600.00	292.15	0.4017	293.11	0.2031	137.72
151200.00	292.15	0.4070	292.60	0.2021	137.75
154800.00	292.15	0.4017	292.60	0.2083	137.78
158400.00	292.15	0.4070	292.60	0.2145	137.82
162000.00	291.77	0.4070	292.60	0.2145	137.85
165600.00	291.64	0.4123	292.60	0.2145	137.88
169200.00	291.64	0.4000	292.60	0.2208	137.91
172800.00	291.64	0.4017	292.60	0.2208	137.94
176400.00	291.64	0.4017	292.60	0.2260	137.97
180000.00	291.64	0.4123	292.60	0.2260	138.00
183600.00	291.64	0.4070	293.11	0.2323	138.03
187200.00	292.15	0.4035	293.61	0.2449	138.05
190800.00	292.15	0.4123	293.61	0.2333	138.08
194400.00	292.65	0.4150	294.11	0.2397	138.10
198000.00	293.15	0.4150	294.11	0.2460	138.12
201600.00	293.15	0.4167	294.11	0.2460	138.14
205200.00	293.15	0.4097	293.61	0.2449	138.17
208800.00	293.15	0.4203	293.61	0.2513	138.19
212400.00	293.15	0.4097	293.61	0.2566	138.22
216000.00	292.65	0.4255	293.11	0.2502	138.25
219600.00	292.65	0.4080	293.11	0.2566	138.28
223200.00	292.15	0.4088	292.60	0.2555	138.30
226800.00	292.15	0.4088	292.60	0.2555	138.33
230400.00	291.77	0.4053	292.60	0.2555	138.35
234000.00	291.64	0.4000	292.10	0.2619	138.38
237600.00	291.64	0.4070	292.10	0.2619	138.40
241200.00	291.64	0.4000	292.10	0.2619	138.42
244800.00	291.27	0.4070	292.10	0.2673	138.44
248400.00	291.14	0.4070	292.10	0.2673	138.46
252000.00	291.14	0.4070	292.10	0.2673	138.48
255600.00	291.14	0.4053	292.10	0.2791	138.50
259200.00	291.14	0.4017	292.10	0.2791	138.52
262800.00	291.14	0.4053	292.10	0.2791	138.55
266400.00	291.14	0.3947	292.60	0.2802	138.57
270000.00	291.14	0.4085	292.60	0.2802	138.58
273600.00	291.64	0.4070	293.11	0.2866	138.60
277200.00	292.10	0.3950	293.61	0.2866	138.61
280800.00	292.60	0.4020	293.61	0.2866	138.63
284400.00	292.60	0.4020	293.61	0.2866	138.64
288000.00	293.10	0.4020	293.61	0.2931	138.66
291600.00	293.10	0.4020	293.61	0.2931	138.67
295200.00	293.10	0.3960	293.11	0.2985	138.69
298800.00	293.10	0.4020	293.11	0.2985	138.70
302400.00	292.60	0.4020	293.11	0.2920	138.72
306000.00	292.60	0.4020	292.60	0.3039	138.74
309600.00	292.10	0.3950	292.60	0.3039	138.76
313200.00	292.10	0.3950	292.10	0.2974	138.78
316800.00	292.10	0.3880	292.10	0.2974	138.80
320400.00	291.60	0.3940	292.10	0.3039	138.82
324000.00	291.60	0.3880	292.10	0.3039	138.83
327600.00	291.60	0.3880	292.10	0.3094	138.85
331200.00	291.60	0.3940	292.10	0.3039	138.86
334800.00	291.60	0.3940	292.10	0.3039	138.88
338400.00	291.09	0.3870	292.10	0.3094	138.89
342000.00	291.09	0.3870	292.10	0.3039	138.91
345600.00	291.60	0.3940	292.10	0.3159	138.93
349200.00	291.60	0.3880	292.60	0.3159	138.94
352800.00	291.60	0.3940	293.11	0.3105	138.96
356400.00	292.10	0.3950	293.11	0.3159	138.98
360000.00	292.10	0.3880	293.61	0.3170	139.00
363600.00	292.60	0.3950	294.11	0.3236	139.02
367200.00	293.10	0.4090	295.11	0.3301	139.03
370800.00	293.60	0.4030	295.11	0.3236	139.04
374400.00	294.11	0.4030	295.11	0.3301	139.06
378000.00	294.61	0.4040	295.61	0.3301	139.07
381600.00	294.61	0.4040	295.11	0.3301	139.09
385200.00	294.61	0.4040	294.61	0.3290	139.11
388800.00	294.61	0.4040	294.11	0.3290	139.13
392400.00	294.11	0.4030	293.61	0.3290	139.14
396000.00	293.60	0.4030	293.11	0.3345	139.16
399600.00	293.10	0.4020	293.11	0.3345	139.18
403200.00	292.60	0.4090	292.60	0.3334	139.20
406800.00	292.60	0.4020	292.60	0.3334	139.21
410400.00	292.10	0.4080	292.10	0.3334	139.23
414000.00	292.10	0.4020	292.10	0.3334	139.25
417600.00	291.60	0.3940	292.10	0.3389	139.27
421200.00	291.60	0.3940	292.10	0.3334	139.29
424800.00	291.60	0.4010	292.10	0.3389	139.30
428400.00	291.60	0.4080	292.10	0.3455	139.32
432000.00	291.60	0.4080	292.10	0.3389	139.33
435600.00	291.60	0.4080	292.60	0.3455	139.34
439200.00	292.10	0.4080	293.61	0.3411	139.35
442800.00	292.60	0.4090	294.11	0.3466	139.36
446400.00	293.10	0.4160	294.61	0.3532	139.37
450000.00	293.60	0.4100	295.11	0.3477	139.37
453600.00	294.11	0.4170	295.11	0.3477	139.37
457200.00	294.11	0.4100	295.11	0.3477	139.37
460800.00	294.61	0.4180	295.61	0.3543	139.38
464400.00	294.61	0.4180	295.11	0.3543	139.39
468000.00	294.61	0.4110	294.61	0.3532	139.41
471600.00	294.61	0.4110	294.11	0.3532	139.42
475200.00	294.11	0.4100	293.61	0.3521	139.44
478800.00	293.60	0.4030	293.11	0.3466	139.46
482400.00	293.10	0.4090	293.11	0.3521	139.48
486000.00	293.10	0.4020	293.11	0.3521	139.49
489600.00	292.60	0.4090	293.11	0.3576	139.50
493200.00	292.60	0.4020	293.11	0.3521	139.51
496800.00	292.60	0.4020	292.60	0.3576	139.52
500400.00	292.60	0.4160	292.60	0.3576	139.54
504000.00	292.10	0.4020	292.60	0.3521	139.55
507600.00	292.10	0.4080	292.60	0.3576	139.56
511200.00	292.10	0.4020	292.60	0.3576	139.57
514800.00	292.10	0.4080	293.11	0.3642	139.57
518400.00	292.10	0.4020	293.11	0.3576	139.59
522000.00	292.60	0.4160	293.11	0.3642	139.60
525600.00	293.10	0.4090	293.61	0.3642	139.60
529200.00	293.10	0.4090	293.61	0.3709	139.61
532800.00	293.60	0.4170	294.11	0.3653	139.62
536400.00	293.60	0.4100	294.61	0.3709	139.63
540000.00	293.60	0.4030	294.61	0.3709	139.63
543600.00	294.11	0.4170	294.61	0.3709	139.63
547200.00	294.11	0.4170	294.61	0.3653	139.64
550800.00	294.61	0.4180	294.61	0.3775	139.65
554400.00	294.61	0.4180	294.11	0.3709	139.66
558000.00	294.11	0.4170	293.61	0.3709	139.68
561600.00	294.11	0.4170	293.11	0.3764	139.69
565200.00	293.60	0.4170	293.11	0.3697	139.70
568800.00	293.10	0.4090	292.60	0.3753	139.71
572400.00	293.10	0.4020	292.60	0.3753	139.72
576000.00	292.60	0.4020	292.10	0.3631	139.73
579600.00	292.60	0.4090	292.10	0.3753	139.74
583200.00	292.10	0.4020	291.60	0.3686	139.75
586800.00	292.10	0.4080	291.60	0.3686	139.76
590400.00	292.10	0.4080	291.60	0.3686	139.77
594000.00	291.60	0.4080	291.60	0.3686	139.78
597600.00	291.60	0.4010	291.60	0.3686	139.79
601200.00	291.60	0.3940	291.60	0.3808	139.79
604800.00	291.60	0.4150	292.10	0.3686	139.79
608400.00	291.60	0.4010	292.10	0.3808	139.79
612000.00	292.10	0.4020	293.11	0.3875	139.79
615600.00	292.60	0.4090	293.61	0.3886	139.79
619200.00	293.10	0.4160	294.11	0.3764	139.79
622800.00	293.60	0.4170	294.61	0.3897	139.79
626400.00	294.11	0.4100	295.11	0.3897	139.79
630000.00	294.61	0.4040	295.61	0.3841	139.79
633600.00	295.11	0.4250	295.61	0.3908	139.79
637200.00	295.11	0.4110	295.61	0.3908	139.80
640800.00	295.11	0.4110	295.61	0.3841	139.80
644400.00	295.11	0.4180	295.61	0.3908	139.81
648000.00	295.11	0.4110	295.11	0.3830	139.81
651600.00	294.61	0.4110	295.11	0.3830	139.82
655200.00	294.61	0.4040	295.11	0.3830	139.82
658800.00	294.61	0.4040	295.11	0.3775	139.83
662400.00	294.61	0.4110	295.11	0.3830	139.83
666000.00	294.11	0.4030	295.11	0.3775	139.83
669600.00	294.11	0.4100	294.61	0.3775	139.84
673200.00	294.11	0.4100	294.61	0.3897	139.84
676800.00	294.11	0.3970	294.61	0.3830	139.85
680400.00	294.11	0.4030	294.61	0.3830	139.85
684000.00	294.11	0.4030	295.11	0.3830	139.86
687600.00	294.11	0.3970	295.11	0.3830	139.86
691200.00	294.61	0.3970	295.61	0.3841	139.86
694800.00	295.11	0.4040	295.61	0.3841	139.86
698400.00	295.61	0.4120	296.12	0.3841	139.86
702000.00	295.61	0.4120	296.12	0.3908	139.86
705600.00	296.12	0.4050	296.12	0.3908	139.86
709200.00	296.12	0.4120	296.62	0.3919	139.86
712800.00	296.12	0.4050	296.62	0.3919	139.86
716400.00	296.12	0.4050	296.62	0.3919	139.86
720000.00	296.62	0.4060	296.62	0.3919	139.86
723600.00	296.62	0.4060	296.62	0.3997	139.87
727200.00	296.12	0.4120	296.12	0.3841	139.87
730800.00	296.12	0.4190	296.12	0.3908	139.88
734400.00	296.12	0.3990	295.61	0.3908	139.88
738000.00	295.61	0.4050	295.61	0.3841	139.88
741600.00	295.61	0.4050	295.11	0.3775	139.89
745200.00	295.11	0.4110	295.11	0.3830	139.89
748800.00	295.11	0.3980	295.11	0.3975	139.90
752400.00	294.61	0.3970	294.61	0.3830	139.90
756000.00	294.61	0.3970	294.61	0.3897	139.90
759600.00	294.61	0.3900	294.61	0.3830	139.91
763200.00	294.61	0.3970	294.61	0.3897	139.91
766800.00	294.11	0.4030	294.61	0.3830	139.92
770400.00	294.11	0.3970	295.11	0.3830	139.92
774000.00	294.61	0.4040	295.11	0.3897	139.92
777600.00	294.61	0.4040	295.11	0.3975	139.93
781200.00	295.11	0.4040	295.61	0.4052	139.93
784800.00	295.11	0.3980	295.61	0.3908	139.94
788400.00	295.11	0.4110	295.61	0.4052	139.94
792000.00	295.11	0.4180	295.61	0.3986	139.94
795600.00	295.61	0.4050	295.61	0.4052	139.95
799200.00	295.61	0.4190	296.12	0.3908	139.95
802800.00	295.61	0.4190	296.12	0.3986	139.96
806400.00	295.61	0.4050	296.12	0.3986	139.96
810000.00	295.61	0.4050	296.12	0.4063	139.96
813600.00	295.61	0.4050	296.12	0.3986	139.97
817200.00	295.61	0.4050	295.61	0.3986	139.97
820800.00	295.61	0.4120	295.61	0.3986	139.97
824400.00	295.61	0.4120	295.11	0.3975	139.98
828000.00	295.11	0.4110	295.11	0.4052	139.98
831600.00	295.11	0.4110	295.11	0.3975	139.99
835200.00	294.61	0.4040	294.61	0.3975	139.99
838800.00	294.61	0.4040	294.61	0.3897	139.99
842400.00	294.61	0.4110	294.61	0.3975	140.00
846000.00	294.61	0.4040	295.11	0.3897	140.00
849600.00	294.61	0.4040	295.11	0.3975	140.01
853200.00	294.61	0.4110	295.11	0.3975	140.01
856800.00	294.61	0.4040	295.11	0.3975	140.01
860400.00	295.11	0.4040	295.61	0.4052	140.02
864000.00	295.11	0.4110	295.61	0.3986	140.02
867600.00	295.11	0.4040	295.61	0.3986	140.03
871200.00	295.61	0.4120	295.61	0.4052	140.03
874800.00	295.61	0.4050	295.61	0.4052	140.03
878400.00	295.61	0.4050	295.61	0.4052	140.04
882000.00	295.61	0.4120	295.61	0.4052	140.04
885600.00	295.61	0.4120	295.61	0.4052	140.05
889200.00	295.61	0.4120	295.61	0.3986	140.05
892800.00	295.61	0.4120	295.61	0.3986	140.05
896400.00	295.61	0.4050	295.61	0.3986	140.06
900000.00	295.61	0.4120	295.61	0.3986	140.06
903600.00	295.61	0.4050	295.61	0.4052	140.07
907200.00	295.61	0.4120	295.11	0.4052	140.07
910800.00	295.11	0.3980	295.11	0.3975	140.07
914400.00	295.11	0.4040	295.11	0.3975	140.08
918000.00	294.61	0.4110	295.11	0.3975	140.08
921600.00	294.61	0.4040	294.61	0.3975	140.09
925200.00	294.61	0.4040	294.61	0.4041	140.09
928800.00	294.61	0.4040	295.11	0.4208	140.09
932400.00	294.61	0.4110	295.11	0.4052	140.10
936000.00	294.61	0.4040	295.11	0.4052	140.10
939600.00	294.61	0.4110	295.11	0.4052	140.11
943200.00	294.61	0.4040	295.11	0.4052	140.11
946800.00	295.11	0.4110	295.61	0.4052	140.11
950400.00	295.11	0.4040	295.11	0.4130	140.11
954000.00	295.11	0.4110	295.11	0.4052	140.12
957600.00	294.61	0.4110	295.11	0.4052	140.12
961200.00	295.11	0.4040	295.61	0.4052	140.12
964800.00	295.11	0.4040	295.61	0.3986	140.12
968400.00	295.11	0.4040	296.12	0.4063	140.13
972000.00	295.61	0.4120	296.12	0.4063	140.13
975600.00	295.61	0.4050	296.12	0.3986	140.13
979200.00	296.12	0.4120	296.12	0.4063	140.13
982800.00	296.12	0.4120	296.12	0.3986	140.13
986400.00	296.12	0.4050	296.12	0.4063	140.14
