Date,OAT,Building 6 kW
1/1/2011 0:00,17.0354975,38.6
1/1/2011 1:00,15.704895,45
1/1/2011 2:00,14.573305,49.5
1/1/2011 3:00,13.7165025,54.7
1/1/2011 4:00,13.720835,42.3
1/1/2011 5:00,13.8608375,48.2
1/1/2011 6:00,15.11172,52.5
1/1/2011 7:00,13.931665,46.5
1/1/2011 8:00,14.4130725,48
1/1/2011 9:00,17.7456225,40
1/1/2011 10:00,20.3542975,40.5
1/1/2011 11:00,22.22969,34
1/1/2011 12:00,23.5042,31.9
1/1/2011 13:00,24.885065,29.4
1/1/2011 14:00,25.2112625,23.7
1/1/2011 15:00,24.860305,27.8
1/1/2011 16:00,23.32489,34.6
1/1/2011 17:00,21.6017175,31.7
1/1/2011 18:00,20.386615,34.3
1/1/2011 19:00,18.7351075,40.8
1/1/2011 20:00,17.5099425,36.3
1/1/2011 21:00,17.11725,38.7
1/1/2011 22:00,15.699435,45.1
1/1/2011 23:00,16.70404,47.5
1/2/2011 0:00,17.20396,46.2
1/2/2011 1:00,17.2904525,43.7
1/2/2011 2:00,17.6528125,43.2
1/2/2011 3:00,17.2810975,42.6
1/2/2011 4:00,16.4153,44.2
1/2/2011 5:00,15.181255,50.2
1/2/2011 6:00,15.8842775,47.4
1/2/2011 7:00,17.837925,42.6
1/2/2011 8:00,18.0684625,42.3
1/2/2011 9:00,21.07648,38.9
1/2/2011 10:00,23.0714125,32.4
1/2/2011 11:00,24.50763,36.8
1/2/2011 12:00,25.8768625,29.6
1/2/2011 13:00,27.186925,30.6
1/2/2011 14:00,28.115895,27.4
1/2/2011 15:00,28.0810175,24.7
1/2/2011 16:00,26.3788925,28.6
1/2/2011 17:00,24.38389,33.6
1/2/2011 18:00,22.7457675,31.8
1/2/2011 19:00,21.2617375,31.7
1/2/2011 20:00,19.087735,36.7
1/2/2011 21:00,18.53335,40.3
1/2/2011 22:00,16.325135,39.6
1/2/2011 23:00,16.3485225,49.4
1/3/2011 0:00,17.064855,43.1
1/3/2011 1:00,16.29254,51.3
1/3/2011 2:00,16.23997,46.2
1/3/2011 3:00,16.1660675,52.8
1/3/2011 4:00,15.150705,52.3
1/3/2011 5:00,14.8568,97.7
1/3/2011 6:00,14.7107,95.5
1/3/2011 7:00,12.596915,95.7
1/3/2011 8:00,12.9853325,80.1
1/3/2011 9:00,16.679875,68.5
1/3/2011 10:00,20.20707,61.5
1/3/2011 11:00,23.5309625,63.4
1/3/2011 12:00,24.03311,55.4
1/3/2011 13:00,24.879605,53
1/3/2011 14:00,25.9383025,48.5
1/3/2011 15:00,25.7045675,46.2
1/3/2011 16:00,24.5894725,46.7
1/3/2011 17:00,23.274975,45.5
1/3/2011 18:00,22.18955,20.3
1/3/2011 19:00,20.6305,19.7
1/3/2011 20:00,19.59582,33
1/3/2011 21:00,18.744705,36.4
1/3/2011 22:00,18.0520225,40.3
1/3/2011 23:00,16.4624975,44.7
1/4/2011 0:00,17.4233475,40.5
1/4/2011 1:00,17.3910325,45.8
1/4/2011 2:00,16.76793,49.8
1/4/2011 3:00,17.8095025,43.2
1/4/2011 4:00,17.5013225,47.1
1/4/2011 5:00,17.56785,85
1/4/2011 6:00,17.31865,88.5
1/4/2011 7:00,16.2948925,78.7
1/4/2011 8:00,16.2280075,72.1
1/4/2011 9:00,18.8807675,73.5
1/4/2011 10:00,21.8207825,65.2
1/4/2011 11:00,22.2959625,60.5
1/4/2011 12:00,23.9331075,56.9
1/4/2011 13:00,25.858455,53.2
1/4/2011 14:00,26.46713,48.5
1/4/2011 15:00,26.3578125,54.2
1/4/2011 16:00,24.0527275,50.8
1/4/2011 17:00,22.6419225,45.5
1/4/2011 18:00,23.0995525,17.9
1/4/2011 19:00,23.2237375,23.4
1/4/2011 20:00,23.5187775,27.2
1/4/2011 21:00,23.703635,30.8
1/4/2011 22:00,24.0656075,34.4
1/4/2011 23:00,24.403505,34.6
1/5/2011 0:00,25.058995,38.3
1/5/2011 1:00,25.96609,31.6
1/5/2011 2:00,26.2853675,36.3
1/5/2011 3:00,25.174845,42
1/5/2011 4:00,25.1340825,38.5
1/5/2011 5:00,25.3304025,80.9
1/5/2011 6:00,25.56151,79
1/5/2011 7:00,25.9855225,59.7
1/5/2011 8:00,26.274455,63.4
1/5/2011 9:00,27.5129,58.7
1/5/2011 10:00,28.9462375,55.2
1/5/2011 11:00,30.24324,49.6
1/5/2011 12:00,30.6760475,48.2
1/5/2011 13:00,31.09345,47.1
1/5/2011 14:00,31.6474125,44.8
1/5/2011 15:00,31.962845,44
1/5/2011 16:00,31.9977575,38.2
1/5/2011 17:00,31.99186,40.2
1/5/2011 18:00,32.0879825,16.5
1/5/2011 19:00,31.3205375,15
1/5/2011 20:00,30.6135075,20.1
1/5/2011 21:00,30.5071525,20.1
1/5/2011 22:00,30.140645,23.7
1/5/2011 23:00,29.86095,25.7
1/6/2011 0:00,29.7792825,26.9
1/6/2011 1:00,29.3298425,24.1
1/6/2011 2:00,28.89032,34.1
1/6/2011 3:00,28.8133975,34.5
1/6/2011 4:00,28.1806175,33
1/6/2011 5:00,26.785425,68.8
1/6/2011 6:00,25.8185975,66.4
1/6/2011 7:00,26.8272325,59.5
1/6/2011 8:00,28.3419975,51.6
1/6/2011 9:00,29.8477525,53.9
1/6/2011 10:00,31.5405125,50
1/6/2011 11:00,32.5756625,49
1/6/2011 12:00,33.366425,46.8
1/6/2011 13:00,33.700945,47.4
