datetime,m0,m1,m2,m3,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
2016-01-01 00:00:00,416.169,1994.63,2334.99,0.0,5.6,0.0,-0.6,0.0,1019.3,300.0,2.6
2016-01-01 01:00:00,408.616,2101.56,2755.43,79.5127,5.6,0.0,-0.6,0.0,1019.3,300.0,2.6
2016-01-01 02:00:00,412.072,1885.37,2564.32,0.0,5.6,4.0,-0.6,0.0,1019.4,300.0,2.6
2016-01-01 03:00:00,393.05300000000005,1909.73,2804.94,0.0,5.6,,-1.1,0.0,1019.4,,1.5
2016-01-01 04:00:00,404.519,1882.42,2621.65,132.957,5.0,,-2.2,0.0,1019.2,290.0,3.1
2016-01-01 05:00:00,406.975,1700.6,3047.3,74.5527,4.4,,-2.2,0.0,1018.9,300.0,4.1
2016-01-01 06:00:00,402.878,1932.2,3120.27,103.268,4.4,,-2.8,0.0,1018.4,300.0,2.6
2016-01-01 07:00:00,404.422,1878.54,3881.23,160.485,3.9,,-2.8,0.0,1018.2,300.0,3.6
2016-01-01 08:00:00,406.791,1922.98,3470.35,62.7305,3.9,0.0,-3.3,0.0,1018.3,300.0,4.1
2016-01-01 09:00:00,408.159,1835.69,3762.22,184.951,3.3,0.0,-3.3,0.0,1018.2,280.0,3.1
2016-01-01 10:00:00,410.519,1879.49,3631.05,38.3567,3.3,0.0,-3.3,0.0,1018.0,280.0,2.6
2016-01-01 11:00:00,419.616,2043.35,3545.05,365.794,3.3,0.0,-3.3,0.0,1017.9,280.0,2.6
2016-01-01 12:00:00,419.528,2083.04,3887.31,31.0568,2.8,2.0,-3.3,0.0,1017.8,300.0,2.6
2016-01-01 13:00:00,416.344,2042.09,3796.97,148.483,2.8,,-2.8,0.0,1018.3,270.0,1.5
2016-01-01 14:00:00,422.441,1949.92,3641.47,100.341,3.3,,-2.8,0.0,1018.1,290.0,2.6
2016-01-01 15:00:00,411.703,2003.7,3715.31,252.033,3.9,,-3.9,0.0,1018.3,300.0,2.6
2016-01-01 16:00:00,421.441,2224.02,3693.59,409.196,3.9,,-3.3,0.0,1017.9,280.0,3.6
