temps (s)	HRext	Text	IRext	HRint	Tint	FLX_0	FLX_8	FLX_16	HR_0	HR_4	HR_8	HR_12	HR_16	HR_18	T_0	T_4	T_8	T_12	T_16	T_18
0	1	282.1	-7.08	0.37	298.34	-0.4407	3.5165	4.5711	0.42	0.48	0.56	0.66	0.88	0	297.46	294.85	291.28	287.76	282.88	233.5
300	1	282.05	-7.01	0.33	297.13	-0.5408	3.5093	4.9181	0.41	0.48	0.56	0.66	0.88	0	297.11	294.86	291.28	287.74	282.86	233.5
600	1	282	-7.15	0.37	297.64	0.2433	3.5310	4.7851	0.43	0.48	0.56	0.66	0.88	0	297.55	294.84	291.26	287.73	282.85	233.5
900	1	281.96	-7.09	0.43	299.68	0.9940	3.5368	4.8289	0.43	0.48	0.56	0.66	0.88	0	297.94	294.8	291.24	287.74	282.83	233.5
1200	1	281.92	-7	0.36	298.58	-0.3893	3.5194	5.0100	0.43	0.48	0.56	0.66	0.88	0	297.94	294.8	291.27	287.74	282.83	233.5
1500	1	281.86	-7.11	0.33	296.98	-0.4351	3.5295	4.9428	0.42	0.48	0.56	0.66	0.88	0	297.13	294.83	291.28	287.72	282.77	233.5
1800	1	281.91	-7.15	0.39	297.86	0.5033	3.5180	4.8289	0.43	0.48	0.56	0.66	0.88	0	297.76	294.81	291.24	287.71	282.76	233.5
2100	1	281.94	-7.09	0.39	299.88	1.5723	3.5483	4.9469	0.43	0.48	0.56	0.66	0.88	0	297.92	294.81	291.24	287.69	282.76	233.5
2400	1	281.91	-7.2	0.37	298.77	0.1251	3.5281	4.6959	0.42	0.48	0.56	0.66	0.88	0	297.66	294.81	291.21	287.69	282.76	233.5
2700	1	281.96	-6.97	0.34	297.41	-0.9036	3.5310	4.6068	0.41	0.48	0.56	0.66	0.88	0	297.2	294.84	291.22	287.67	282.76	233.5
3000	1	282.05	-6.87	0.35	297.36	-0.1293	3.5281	4.2598	0.41	0.48	0.56	0.66	0.88	0	297.11	294.83	291.23	287.67	282.77	233.5
3300	1	282.02	-6.82	0.4	298.84	0.4087	3.5686	4.2365	0.42	0.48	0.56	0.66	0.88	0	297.42	294.83	291.23	287.66	282.79	233.5
3600	1	282.05	-6.88	0.4	299.46	0.2794	3.5411	4.0829	0.42	0.48	0.56	0.66	0.88	0	297.42	294.78	291.22	287.66	282.8	233.5
3900	1	282	-6.93	0.33	297.18	-1.0927	3.5686	4.1103	0.42	0.48	0.56	0.66	0.88	0	297.42	294.78	291.22	287.66	282.84	233.5
4200	1	281.9	-7.07	0.35	297.21	-0.1821	3.5541	4.2296	0.42	0.48	0.56	0.66	0.88	0	297.42	294.78	291.22	287.66	282.84	233.5
4500	1	281.89	-7.03	0.41	299.31	0.4407	3.5339	4.4600	0.42	0.48	0.56	0.66	0.88	0	297.42	294.78	291.22	287.62	282.8	233.5
4800	1	281.9	-7.37	0.37	299.35	0.2113	3.5758	4.6520	0.42	0.48	0.56	0.66	0.88	0	297.42	294.78	291.22	287.62	282.8	233.5
5100	1	281.91	-7.48	0.36	298.38	-0.1599	3.5701	4.4216	0.42	0.48	0.56	0.66	0.88	0	297.48	294.8	291.14	287.61	282.82	233.5
5400	1	281.95	-7.17	0.34	297.61	-0.7160	3.5512	4.4792	0.42	0.48	0.56	0.66	0.88	0	297.26	294.82	291.18	287.61	282.81	233.5
5700	1	282	-6.83	0.35	297.2	-0.3003	3.5672	4.2982	0.42	0.48	0.56	0.66	0.88	0	297.11	294.81	291.2	287.62	282.82	233.5
6000	1	281.97	-6.89	0.4	298.3	0.5227	3.5512	4.0404	0.42	0.48	0.56	0.66	0.88	0	297.11	294.81	291.2	287.62	282.85	233.5
6300	1	281.94	-6.95	0.39	299.54	0.3350	3.5570	3.9923	0.42	0.48	0.56	0.66	0.88	0	297.65	294.81	291.15	287.6	282.88	233.5
6600	1	282.06	-6.91	0.34	297.36	-1.1678	3.5585	3.9759	0.42	0.48	0.56	0.66	0.88	0	297.48	294.77	291.16	287.6	282.88	233.5
6900	1	282.02	-7.12	0.35	297.33	-0.1265	3.5527	4.1391	0.42	0.48	0.56	0.66	0.88	0	297.25	294.76	291.14	287.58	282.89	233.5
