temps (s)	HR_4	HR_8	HR_12	T_4	T_8	T_12	FLX_8	FLX_16
0	0.48	0.56	0.66	294.84	291.28	287.76	4.970909425	7.282561341
300	0.480171443	0.560188559	0.660815683	294.7948649	291.2779534	287.690816	4.97747898	7.237491577
600	0.480342885	0.560377118	0.661631366	294.7497298	291.2759068	287.6216321	4.984048871	7.192427574
900	0.480514328	0.560565678	0.662447049	294.7045947	291.2738602	287.5524481	4.990619101	7.147369328
1200	0.480568676	0.560614584	0.662783791	294.6909119	291.2628463	287.5153048	5.001019027	7.141567577
1500	0.480623024	0.560663491	0.663120532	294.6772291	291.2518325	287.4781616	5.011418616	7.135766315
1800	0.480677372	0.560712398	0.663457273	294.6635463	291.2408187	287.4410183	5.021817865	7.129965543
2100	0.480688886	0.560728045	0.663690581	294.6432696	291.2257809	287.4111654	5.032350836	7.025361491
2400	0.480700399	0.560743693	0.663923889	294.6229929	291.2107431	287.3813125	5.042883183	6.920758377
2700	0.480711912	0.56075934	0.664157197	294.6027162	291.1957053	287.3514596	5.053414907	6.816156201
3000	0.480705582	0.560756104	0.66431963	294.5800435	291.1783086	287.3273828	5.060327285	6.703957866
3300	0.480699252	0.560752868	0.664482062	294.5573708	291.160912	287.3033061	5.067239143	6.591754855
3600	0.480692921	0.560749632	0.664644495	294.5346981	291.1435153	287.2792294	5.074150483	6.479547168
3900	0.480678769	0.560738741	0.664769016	294.5152312	291.125006	287.2593553	5.077671617	6.458735936
4200	0.480664617	0.560727851	0.664893538	294.4957643	291.1064968	287.2394811	5.081192454	6.437924805
4500	0.480650465	0.56071696	0.665018059	294.4762974	291.0879876	287.219607	5.084712994	6.417113775
4800	0.480642789	0.560702384	0.665120151	294.457208	291.0692196	287.2026671	5.085762446	6.376943305
5100	0.480635113	0.560687808	0.665222242	294.4381185	291.0504517	287.1857273	5.086811796	6.33677259
5400	0.480627437	0.560673231	0.665324334	294.4190291	291.0316837	287.1687874	5.087861043	6.296601629
5700	0.480626316	0.560657557	0.665414525	294.4060958	291.0134066	287.1550055	5.087842455	6.187543872
6000	0.480625195	0.560641883	0.665504716	294.3931625	290.9951295	287.1412236	5.087823853	6.078477372
6300	0.480624074	0.560626209	0.665594907	294.3802291	290.9768524	287.1274417	5.087805236	5.96940213
6600	0.480620589	0.560610892	0.665677658	294.3667874	290.959622	287.1159135	5.087337322	5.989575972
6900	0.480617104	0.560595575	0.665760408	294.3533456	290.9423916	287.1043852	5.086869429	6.009749772
7200	0.480613619	0.560580258	0.665843159	294.3399039	290.9251612	287.0928569	5.086401557	6.02992353
7500	0.480604766	0.560565446	0.665919165	294.324651	290.9089011	287.0818287	5.084857776	6.075053963
7800	0.480595914	0.560550634	0.66599517	294.3093981	290.892641	287.0708004	5.083314094	6.120181969
8100	0.480587061	0.560535821	0.666071176	294.2941451	290.8763808	287.0597721	5.081770508	6.16530755
8400	0.480572126	0.560521027	0.666140395	294.2762168	290.8607269	287.047635	5.079097699	6.233700968
8700	0.480557191	0.560506233	0.666209614	294.2582885	290.845073	287.035498	5.076425063	6.302087154
9000	0.480542256	0.560491439	0.666278832	294.2403601	290.8294191	287.0233609	5.073752599	6.370466111
9300	0.480539757	0.560476592	0.666341967	294.2291109	290.814243	287.0098085	5.071682148	6.381737027
9600	0.480537259	0.560461746	0.666405101	294.2178618	290.7990669	286.9962561	5.069611826	6.393006977
9900	0.48053476	0.560446899	0.666468235	294.2066126	290.7838907	286.9827037	5.06754163	6.40427596
10200	0.480547535	0.560433043	0.666530117	294.2038174	290.7697496	286.9706984	5.068380671	6.211023328
10500	0.480560309	0.560419187	0.666591998	294.2010222	290.7556084	286.9586931	5.069219649	6.017748996
10800	0.480573084	0.560405331	0.66665388	294.1982269	290.7414673	286.9466877	5.070058565	5.824452964
11100	0.480574888	0.560392802	0.666717253	294.1888821	290.7285511	286.9377845	5.071777532	5.773494437
11400	0.480576693	0.560380274	0.666780625	294.1795373	290.7156349	286.9288813	5.073496392	5.722532233
11700	0.480578497	0.560367746	0.666843998	294.1701925	290.7027187	286.9199781	5.075215147	5.671566351
12000	0.480588169	0.560356663	0.666908163	294.165775	290.6910253	286.9136778	5.076310989	5.650793138
12300	0.48059784	0.560345579	0.666972328	294.1613575	290.679332	286.9073774	5.077406768	5.630018919
12600	0.480607511	0.560334496	0.667036494	294.15694	290.6676386	286.901077	5.078502484	5.609243695
12900	0.480608342	0.560325	0.667098863	294.1506687	290.6572589	286.8950405	5.079291994	5.711191447
13200	0.480609173	0.560315503	0.667161232	294.1443974	290.6468791	286.8890039	5.080081463	5.813131578
13500	0.480610003	0.560306007	0.667223602	294.138126	290.6364994	286.8829674	5.08087089	5.915064086
13800	0.480596973	0.560296932	0.667281652	294.1247724	290.6267275	286.8752893	5.08001524	5.985784838
14100	0.480583944	0.560287857	0.667339702	294.1114188	290.6169556	286.8676112	5.079159622	6.056498177
14400	0.480570914	0.560278781	0.667397752	294.0980651	290.6071837	286.8599331	5.078304036	6.127204102
14700	0.48055748	0.560269094	0.667451948	294.0846291	290.597381	286.8507279	5.076066694	6.118594217
