temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
0	0.48	0.56	0.66	3.602397963	3.991890393	294.84	291.28	287.76
300	0.480703226	0.560401449	0.661883352	3.602321555	4.002212773	294.8112529	291.2900787	287.728116
600	0.481406452	0.560802897	0.663766705	3.602244685	4.012525587	294.7825058	291.3001573	287.6962321
900	0.482109678	0.561204346	0.665650057	3.602167353	4.022828837	294.7537587	291.310236	287.6643481
1200	0.482427765	0.56125406	0.666104248	3.602582729	4.051311426	294.7469781	291.3130305	287.6503032
1500	0.482745852	0.561303775	0.666558438	3.602998127	4.079757039	294.7401974	291.315825	287.6362583
1800	0.483063939	0.561353489	0.667012628	3.603413547	4.108165675	294.7334168	291.3186195	287.6222134
2100	0.481372617	0.561340465	0.667370426	3.593066396	4.08009519	294.6936743	291.3144311	287.6102765
2400	0.479681294	0.561327441	0.667728224	3.582721106	4.052026837	294.6539319	291.3102427	287.5983396
2700	0.477989971	0.561314417	0.668086022	3.572377678	4.023960617	294.6141894	291.3060543	287.5864026
3000	0.477213153	0.56128834	0.668363793	3.559630104	3.958032097	294.6578686	291.3001553	287.5756712
3300	0.478923538	0.561216605	0.668580615	3.5512149	3.916768436	294.6659764	291.293523	287.5663383
3600	0.479369814	0.561154589	0.668812637	3.548491639	3.8919747	294.6454129	291.2873587	287.5578269
3900	0.479489327	0.561096793	0.669051424	3.547550231	3.867158374	294.6202141	291.2816061	287.5505841
4200	0.479608839	0.561038998	0.669290211	3.546608946	3.84232019	294.5950153	291.2758534	287.5433412
4500	0.479662272	0.560972055	0.669507651	3.543963165	3.865504647	294.5806388	291.2697739	287.5371709
4800	0.479708363	0.560904095	0.66972272	3.541128588	3.894020047	294.5674647	291.263658	287.5311198
5100	0.479754454	0.560836136	0.669937788	3.53829464	3.922528874	294.5542907	291.2575421	287.5250686
5400	0.479549616	0.560759076	0.67013252	3.53375229	3.904093233	294.5395183	291.2508199	287.5198236
5700	0.479316897	0.560681004	0.670324992	3.529021267	3.8804288	294.5245684	291.2440303	287.5146681
6000	0.479084179	0.560602932	0.670517464	3.524291492	3.856750534	294.5096185	291.2372407	287.5095127
6300	0.478984701	0.560522278	0.67069575	3.519414961	3.841381723	294.49916	291.2302623	287.5052893
6600	0.478900029	0.560441336	0.670872459	3.514523314	3.826927802	294.4892006	291.2232629	287.5011694
6900	0.478815356	0.560360395	0.671049169	3.509633	3.812464167	294.4792412	291.2162635	287.4970495
7200	0.479447637	0.560296005	0.671210308	3.510586548	3.844451652	294.4889278	291.2113646	287.4929263
7500	0.480159579	0.560233454	0.671369717	3.51218895	3.88158439	294.5007972	291.2066992	287.4888027
7800	0.480871521	0.560170902	0.671529127	3.513790948	3.91869968	294.5126666	291.2020337	287.4846791
8100	0.481071355	0.560122269	0.671670435	3.517073752	3.959475124	294.5110486	291.1989509	287.47953
8400	0.481214288	0.560075182	0.671809732	3.52054289	4.000616663	294.507932	291.1960439	287.4742668
8700	0.481357222	0.560028095	0.671949028	3.524011557	4.041714355	294.5048153	291.1931368	287.4690037
9000	0.481592478	0.559992434	0.672068476	3.528505945	4.091337833	294.5088886	291.1912386	287.461969
9300	0.481837993	0.559958044	0.672185717	3.533113979	4.141828721	294.5137608	291.1894524	287.4547374
9600	0.482083508	0.559923653	0.672302959	3.537721643	4.192232685	294.518633	291.1876662	287.4475057
9900	0.481154817	0.559876885	0.672419161	3.534885527	4.120678352	294.4960393	291.1835576	287.4407057
10200	0.480095658	0.559828742	0.672535248	3.531222954	4.03548714	294.4703939	291.1791908	287.4339536
10500	0.479036498	0.559780598	0.672651335	3.527561019	3.950199857	294.4447484	291.1748241	287.4272015
