temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
0	0.48	0.56	0.66	3.424135748	4.69297937	294.84	291.28	287.76
300	0.480217528	0.56027713	0.661586837	3.426551568	4.667963412	294.7986344	291.2808669	287.7059439
600	0.480435056	0.56055426	0.663173675	3.428967524	4.642951163	294.7572689	291.2817338	287.6518877
900	0.480652584	0.560831389	0.664760512	3.431383618	4.617942622	294.7159033	291.2826006	287.5978316
1200	0.480705466	0.560872322	0.665181487	3.434505238	4.624828636	294.7048151	291.2751957	287.5685082
1500	0.480758348	0.560913255	0.665602462	3.437626691	4.631713232	294.6937269	291.2677908	287.5391848
1800	0.480811229	0.560954188	0.666023437	3.440747979	4.638596412	294.6826387	291.2603859	287.5098615
2100	0.480816914	0.560958233	0.666285219	3.444330186	4.586926178	294.6652285	291.2497701	287.4863258
2400	0.480822598	0.560962279	0.666547001	3.447912082	4.535257176	294.6478183	291.2391544	287.4627901
2700	0.480828282	0.560966325	0.666808783	3.45149367	4.483589405	294.6304081	291.2285386	287.4392544
3000	0.480811144	0.560953593	0.667025492	3.453280332	4.4248732	294.6097153	291.2158297	287.4204503
3300	0.480794005	0.560940862	0.667242202	3.455066793	4.36615205	294.5890225	291.2031208	287.4016463
3600	0.480776866	0.560928131	0.667458912	3.456853053	4.307425953	294.5683297	291.1904118	287.3828423
3900	0.480754437	0.560905855	0.66765521	3.456812387	4.303058405	294.5506144	291.1765628	287.3674013
4200	0.480732009	0.56088358	0.667851508	3.456771703	4.298690878	294.532899	291.1627138	287.3519604
4500	0.48070958	0.560861305	0.668047807	3.456731002	4.294323373	294.5151837	291.1488648	287.3365195
4800	0.480694739	0.560832978	0.668228541	3.455422393	4.277090421	294.4981785	291.1345948	287.3233547
5100	0.480679897	0.560804651	0.668409276	3.454113913	4.259857162	294.4811733	291.1203247	287.3101898
5400	0.480665056	0.560776323	0.66859001	3.452805564	4.242623597	294.4641681	291.1060546	287.297025
5700	0.480662268	0.560744973	0.668761123	3.450982057	4.181461173	294.4525783	291.0920026	287.2866207
6000	0.480659481	0.560713622	0.668932237	3.449158739	4.12028855	294.4409884	291.0779505	287.2762163
6300	0.480656693	0.560682271	0.66910335	3.44733561	4.059105731	294.4293986	291.0638985	287.265812
6600	0.480650938	0.560650249	0.669264764	3.445487635	4.076419972	294.4179252	291.0506156	287.257191
6900	0.480645183	0.560618226	0.669426179	3.443639842	4.093734276	294.4064518	291.0373327	287.2485699
7200	0.480639427	0.560586203	0.669587594	3.441792232	4.111048644	294.3949783	291.0240498	287.2399489
7500	0.480625929	0.56055407	0.669735898	3.439571045	4.144208693	294.3818428	291.0114919	287.2313161
7800	0.48061243	0.560521937	0.669884202	3.43735007	4.177365405	294.3687072	290.998934	287.2226832
8100	0.480598932	0.560489803	0.670032506	3.435129309	4.21051878	294.3555716	290.9863761	287.2140504
8400	0.480576513	0.560457074	0.670164599	3.432538958	4.258510962	294.3400163	290.9742206	287.2038487
8700	0.480554094	0.560424344	0.670296692	3.429948853	4.306493284	294.324461	290.9620651	287.1936469
9000	0.480531675	0.560391615	0.670428785	3.427358992	4.354465746	294.3089057	290.9499097	287.1834452
9300	0.480527183	0.560358386	0.670545588	3.425362625	4.367285357	294.2995179	290.9379835	287.171554
9600	0.480522691	0.560325156	0.670662391	3.42336644	4.38010284	294.2901301	290.9260573	287.1596628
9900	0.480518198	0.560291927	0.670779194	3.421370436	4.392918197	294.2807423	290.9141312	287.1477717
10200	0.480537366	0.560260218	0.670892486	3.421403921	4.277895926	294.2797169	290.9029607	287.1375605
10500	0.480556534	0.560228509	0.671005778	3.421437388	4.162847169	294.2786916	290.8917903	287.1273494
10800	0.480575701	0.5601968	0.67111907	3.421470837	4.047771925	294.2776662	290.8806199	287.1171382
11100	0.480576746	0.560167708	0.671234476	3.422365417	4.017992933	294.2709445	290.8705129	287.1100406
11400	0.480577791	0.560138616	0.671349882	3.423259908	3.988209368	294.2642228	290.8604059	287.1029429
11700	0.480578835	0.560109524	0.671465289	3.424154311	3.958421232	294.257501	290.8502989	287.0958452
12000	0.480585457	0.560083373	0.67158159	3.424555478	3.947143978	294.2537813	290.8412004	287.0911745
12300	0.480592078	0.560057222	0.671697892	3.424956604	3.935865534	294.2500615	290.8321019	287.0865038
12600	0.480598699	0.56003107	0.671814193	3.425357689	3.924585902	294.2463418	290.8230034	287.0818331
12900	0.480593897	0.560008104	0.67192426	3.425541265	3.989744897	294.241287	290.8149914	287.0770282
13200	0.480589095	0.559985137	0.672034327	3.425724821	4.054894618	294.2362322	290.8069793	287.0722233
13500	0.480584293	0.55996217	0.672144394	3.425908357	4.120035065	294.2311774	290.7989673	287.0674184
13800	0.480560786	0.559940635	0.672242839	3.425216379	4.167375833	294.2196767	290.7914082	287.0606189
14100	0.480537278	0.5599191	0.672341285	3.424524438	4.214706903	294.2081759	290.783849	287.0538194
14400	0.48051377	0.559897564	0.67243973	3.423832533	4.262028275	294.1966752	290.7762899	287.0470199
14700	0.480491187	0.559875758	0.672528088	3.422368377	4.260517044	294.1845485	290.7685608	287.038577
15000	0.480468604	0.559853952	0.672616445	3.420904308	4.259005956	294.1724218	290.7608318	287.0301342
15300	0.480446021	0.559832145	0.672704803	3.419440327	4.257495009	294.1602951	290.7531028	287.0216913
15600	0.480431176	0.559810045	0.672792581	3.417797825	4.16713222	294.1505677	290.7451483	287.0145201
15900	0.480416331	0.559787944	0.67288036	3.416155425	4.076752671	294.1408403	290.7371939	287.0073489
16200	0.480401486	0.559765844	0.672968138	3.414513126	3.986356361	294.1311128	290.7292395	287.0001777
16500	0.48039091	0.559744523	0.673060532	3.412731506	3.945641545	294.1227848	290.7213762	286.9957725
16800	0.480380335	0.559723202	0.673152927	3.410949997	3.9049195	294.1144568	290.7135129	286.9913673
17100	0.48036976	0.559701881	0.673245321	3.409168596	3.864190226	294.1061288	290.7056496	286.9869621
17400	0.480361365	0.559682646	0.673346107	3.406810455	3.785125061	294.0984068	290.6982768	286.9863602
17700	0.48035297	0.559663412	0.673446893	3.404452452	3.706033961	294.0906848	290.6909039	286.9857582
18000	0.480344575	0.559644178	0.67354768	3.402094587	3.626916925	294.0829629	290.6835311	286.9851563
18300	0.480355561	0.559628927	0.673657616	3.399324475	3.581556266	294.0813524	290.6772212	286.9883771
18600	0.480366547	0.559613677	0.673767553	3.396554504	3.536181363	294.079742	290.6709113	286.991598
18900	0.480377533	0.559598426	0.67387749	3.393784673	3.490792216	294.0781316	290.6646014	286.9948188
19200	0.480393092	0.559588936	0.673995872	3.390909841	3.443961415	294.0783885	290.6599538	287.0014929
19500	0.480408652	0.559579445	0.674114255	3.388035115	3.397114669	294.0786454	290.6553063	287.0081669
