t (s)	T(e/4)	T(e/2)	T(3e/4)
0	0.0000	0.0000	0.0000
200	0.6049	0.0505	0.0037
400	2.8429	0.4044	0.0482
600	6.8877	1.3556	0.2261
800	12.7029	3.1203	0.6690
1000	20.0990	5.7749	1.4899
1200	27.8255	9.2703	2.7843
1400	33.6817	13.1402	4.5810
1600	37.2646	16.7867	6.7499
1800	38.6864	19.8417	9.1093
2000	38.0801	22.0812	11.4682
2200	36.2653	23.4805	13.6610
2400	34.3895	24.2370	15.5847
2600	32.7738	24.6144	17.2055
2800	31.4224	24.8039	18.5575
3000	30.3011	24.8984	19.6789
3200	29.3778	24.9444	20.6022
3400	28.6136	24.9674	21.3664
3600	27.9813	24.9789	21.9987
3800	27.4612	24.9845	22.5188
4000	27.0307	24.9873	22.9493
4200	26.6747	24.9887	23.3053
4400	26.3817	24.9893	23.5983
4600	26.1393	24.9897	23.8407
4800	25.9388	24.9898	24.0412
5000	25.7738	24.9899	24.2062
5200	25.6373	24.9900	24.3427
5400	25.5243	24.9900	24.4557
5600	25.4314	24.9900	24.5486
5800	25.3545	24.9900	24.6255
6000	25.2909	24.9900	24.6891
6200	25.2386	24.9900	24.7414
6400	25.1953	24.9900	24.7847
6600	25.1595	24.9900	24.8205
6800	25.1300	24.9900	24.8500
7000	25.1056	24.9900	24.8744
7200	25.0854	24.9900	24.8946
7400	25.0688	24.9900	24.9112
7600	25.0551	24.9900	24.9249
7800	25.0438	24.9900	24.9362
8000	25.0344	24.9900	24.9456
