Date,OAT,Building 6 kW
1/2/2009 0:00,41.6,23.3
1/2/2009 1:00,40.9,23.1
1/2/2009 2:00,39.5,23.7
1/2/2009 3:00,36.3,29.1
1/2/2009 4:00,32.8,35.6
1/2/2009 5:00,32.5,45.5
1/2/2009 6:00,32.7,41.4
1/2/2009 7:00,32.7,42
1/2/2009 8:00,34,41.5
1/2/2009 9:00,34.7,38.3
1/2/2009 10:00,35.5,45
1/2/2009 11:00,36.6,43.3
1/2/2009 12:00,36.3,42.5
1/2/2009 13:00,38.6,39.1
1/2/2009 14:00,39.9,37.1
1/2/2009 15:00,39.9,36
1/2/2009 16:00,35.5,39
1/2/2009 17:00,30.5,38.2
1/2/2009 18:00,28.8,39.8
1/2/2009 19:00,28.6,40.3
1/2/2009 20:00,28,44.1
1/2/2009 21:00,24.1,43.3
1/2/2009 22:00,21.1,26
1/2/2009 23:00,19.9,25.7
1/3/2009 0:00,19.6,28.2
1/3/2009 1:00,18.8,29.2
1/3/2009 2:00,19,29.4
1/3/2009 3:00,19,32.5
1/3/2009 4:00,18.9,37
1/3/2009 5:00,17.9,56
1/3/2009 6:00,17.8,70.9
1/3/2009 7:00,16.3,58.8
1/3/2009 8:00,17.4,57.8
1/3/2009 9:00,19.7,54.3
1/3/2009 10:00,20.8,47.7
1/3/2009 11:00,22.2,44.7
1/3/2009 12:00,23.1,45.7
1/3/2009 13:00,24,43.3
1/3/2009 14:00,24.2,45.2
1/3/2009 15:00,23.3,45.8
1/3/2009 16:00,21.1,43.4
1/3/2009 17:00,18.2,40.2
1/3/2009 18:00,15.9,43.2
1/3/2009 19:00,14.8,43.5
1/3/2009 20:00,13.9,48.7
1/3/2009 21:00,14.1,46.6
1/3/2009 22:00,16.4,36.2
1/3/2009 23:00,17.4,32.2
1/4/2009 0:00,16.6,34.3
1/4/2009 1:00,17.6,34.2
1/4/2009 2:00,18.1,35.2
1/4/2009 3:00,17.4,34.8
1/4/2009 4:00,17.6,44.1
1/4/2009 5:00,16.2,62.3
1/4/2009 6:00,14.5,73.2
1/4/2009 7:00,13.1,66.7
1/4/2009 8:00,14.4,66.7
1/4/2009 9:00,15.1,61.9
1/4/2009 10:00,16.3,58.2
1/4/2009 11:00,17.4,58.5
1/4/2009 12:00,18,48.7
1/4/2009 13:00,18.6,56.6
1/4/2009 14:00,18.9,51.1
1/4/2009 15:00,19.2,54
1/4/2009 16:00,19.2,49.4
1/4/2009 17:00,19.2,40
1/4/2009 18:00,19.2,42.8
1/4/2009 19:00,19.2,43.9
1/4/2009 20:00,19.6,44.6
1/4/2009 21:00,19.8,42.8
1/4/2009 22:00,19.9,31.5
1/4/2009 23:00,19.7,32
1/5/2009 0:00,19.3,33
1/5/2009 1:00,19.4,35.2
1/5/2009 2:00,19.5,43.1
1/5/2009 3:00,19.8,46.8
1/5/2009 4:00,20.1,51.4
1/5/2009 5:00,20.2,63.5
1/5/2009 6:00,20.5,71.6
1/5/2009 7:00,19.9,67
1/5/2009 8:00,20.5,69.2
1/5/2009 9:00,22.2,67.2
1/5/2009 10:00,24.9,60.6
1/5/2009 11:00,24.9,59.6
1/5/2009 12:00,26,59.3
1/5/2009 13:00,27.7,57.3
1/5/2009 14:00,26.6,58.7
1/5/2009 15:00,26.6,54.5
1/5/2009 16:00,26.4,54
1/5/2009 17:00,25.4,49.6
1/5/2009 18:00,26.2,50
1/5/2009 19:00,26,49.7
1/5/2009 20:00,25.6,49.8
1/5/2009 21:00,24.9,42.9
1/5/2009 22:00,25,27
1/5/2009 23:00,25.1,26.6
1/6/2009 0:00,27.7,27.7
1/6/2009 1:00,30.2,28.4
1/6/2009 2:00,30.3,32.8
1/6/2009 3:00,37.1,37.8
1/6/2009 4:00,41.4,39.4
1/6/2009 5:00,41.3,42.3
1/6/2009 6:00,42.2,41.4
1/6/2009 7:00,41.4,44.7
1/6/2009 8:00,42.2,49.4
1/6/2009 9:00,42.3,57
1/6/2009 10:00,42.9,58.6
1/6/2009 11:00,45.1,53.7
1/6/2009 12:00,47.5,51.8
1/6/2009 13:00,50.4,55.9
1/6/2009 14:00,52.2,51.9
1/6/2009 15:00,52.8,51
1/6/2009 16:00,52.8,46.5
1/6/2009 17:00,53,41.4
1/6/2009 18:00,53.8,36.4
1/6/2009 19:00,54.4,35.4
1/6/2009 20:00,54.9,35.6
1/6/2009 21:00,54.6,33.3
1/6/2009 22:00,55.8,26.4
1/6/2009 23:00,56.3,26.6
1/7/2009 0:00,55.9,26.1
1/7/2009 1:00,56.1,26.5
1/7/2009 2:00,57,26.1
1/7/2009 3:00,57,29.6
1/7/2009 4:00,57,31.4
1/7/2009 5:00,56.7,36.1
1/7/2009 6:00,57.1,38.7
1/7/2009 7:00,56.5,43.1
1/7/2009 8:00,56.9,46.3
1/7/2009 9:00,56.5,51.5
1/7/2009 10:00,57.8,53.7
1/7/2009 11:00,59.8,51.6
1/7/2009 12:00,61.3,49.7
1/7/2009 13:00,60.3,49.9
1/7/2009 14:00,61.2,51.2
1/7/2009 15:00,60.4,47.3
1/7/2009 16:00,60.1,43.9
1/7/2009 17:00,59.6,36.2
1/7/2009 18:00,58.8,33.9
1/7/2009 19:00,58,32.7
1/7/2009 20:00,57.5,31.2
1/7/2009 21:00,58.2,30.5
1/7/2009 22:00,57.5,25.6
1/7/2009 23:00,56.4,25.1
1/8/2009 0:00,56.3,24.8
1/8/2009 1:00,56.8,25
1/8/2009 2:00,56.3,24.6
1/8/2009 3:00,55.8,28.4
1/8/2009 4:00,55.1,34
1/8/2009 5:00,54,35.4
1/8/2009 6:00,52.9,39.9
1/8/2009 7:00,51.1,42.6
1/8/2009 8:00,49.7,48.4
1/8/2009 9:00,50.4,53.6
1/8/2009 10:00,52.9,56.2
1/8/2009 11:00,54.9,53.2
1/8/2009 12:00,56.3,51.4
