t (s)	U (W/m2)	T(e/4)	T(e/2)	T(3e/4)
0	0	0	0	0
200	300	0.6	0.05	0
400	600	2.84	0.4	0.05
600	900	6.89	1.36	0.23
800	1200	12.7	3.12	0.67
1000	1500	20.1	5.77	1.49
1200	1200	27.83	9.27	2.78
1400	900	33.68	13.14	4.58
1600	600	37.26	16.79	6.75
1800	300	38.69	19.84	9.11
2000	0	38.08	22.08	11.47
2200	0	36.27	23.48	13.66
2400	0	34.39	24.24	15.58
2600	0	32.77	24.61	17.21
2800	0	31.42	24.8	18.56
3000	0	30.3	24.9	19.68
3200	0	29.38	24.94	20.6
3400	0	28.61	24.97	21.37
3600	0	27.98	24.98	22
3800	0	27.46	24.98	22.52
4000	0	27.03	24.99	22.95
4200	0	26.67	24.99	23.31
4400	0	26.38	24.99	23.6
4600	0	26.14	24.99	23.84
4800	0	25.94	24.99	24.04
5000	0	25.77	24.99	24.21
5200	0	25.64	24.99	24.34
5400	0	25.52	24.99	24.46
5600	0	25.43	24.99	24.55
5800	0	25.35	24.99	24.63
6000	0	25.29	24.99	24.69
6200	0	25.24	24.99	24.74
6400	0	25.2	24.99	24.78
6600	0	25.16	24.99	24.82
6800	0	25.13	24.99	24.85
7000	0	25.11	24.99	24.87
7200	0	25.09	24.99	24.89
7400	0	25.07	24.99	24.91
7600	0	25.06	24.99	24.92
7800	0	25.04	24.99	24.94
8000	0	25.03	24.99	24.95
